885.94547, 0.00026
911.05470, 0.02469
914.86533, 0.03614
922.19346, 0.08615
924.24534, 0.11168
925.71097, 0.14023
926.88347, 0.17125
928.05597, 0.19938
930.69410, 0.21500
932.94139, 0.18390
933.91848, 0.16064
935.91173, 0.13612
940.36724, 0.12870
944.47099, 0.10232
948.57475, 0.09603
952.38538, 0.08480
956.19601, 0.06051
960.29976, 0.05067
964.40352, 0.05830
968.50727, 0.07350
971.73165, 0.09454
973.19728, 0.12337
974.36978, 0.15935
974.95603, 0.18526
975.54228, 0.21172
976.12853, 0.23819
976.83203, 0.39912
976.71478, 0.35531
976.42166, 0.32141
976.42166, 0.29826
976.42166, 0.27512
976.12853, 0.25693
977.30103, 0.52561
977.00791, 0.49171
977.00791, 0.46857
977.00791, 0.44542
976.71478, 0.43219
981.69791, 0.50668
981.69791, 0.48354
981.69791, 0.46039
981.69791, 0.43724
982.28417, 0.36616
982.28417, 0.34302
982.28417, 0.29755
982.87042, 0.26532
983.74979, 0.22938
984.33604, 0.19646
985.50854, 0.16163
987.26730, 0.12983
990.78480, 0.11762
994.88856, 0.12856
998.40606, 0.12575
1000.75106, 0.09758
1002.50982, 0.07061
1004.85482, 0.04354
1008.37232, 0.02419
1012.47608, 0.01695
1016.57984, 0.01655
1020.68359, 0.02088
1024.78735, 0.02073
1028.59798, 0.01269
977.44898, 0.55874
977.44898, 0.59711
977.78912, 0.68153
978.63946, 0.80049
978.97959, 0.87724
979.82993, 0.98565
980.17007, 0.87726
980.34014, 0.80053
980.85034, 0.68063
981.19048, 0.59718
1033.40136, 0.00538
1042.92517, 0.00077
